Target,Detected,Story
Joy,Neutral,"The brassy ring of the bell was ringing in my ears. I had to make it, but not before getting a piece of cake. 
 
 `` Honey,'' said the woman behind me, who's eyes sparkled with anticipation. She knew what this meant. Her hands were trembling as she pulled out her clipboard and paper"
Joy,Neutral,"The recruiter waited inside the small tent. He had been waiting for a very long time. It was almost another ten minutes before he finally made his presence known. 
 
 `` Hello, ladies and gentlemen. I am your new recruit.'' 
 
 `` Hi!'' Came one of the cheerleaders' lines to"
Joy,Joy,"Three men of different species sat on opposite sides of the room, chatting and laughing. One man was tall, muscular, with blonde hair. He had bright green eyes and grinned at me as he pulled a small flask from his pocket and set it on my table. A shard flew towards him, slicing through his left ear but"
Joy,Trust,"As a rule, they are always very nice people. I was with them on my last adventure and had no problems at all. They took me to places I never would have gone just because the Lord of the Universe wanted us there. This time we were going for the gold in The Hole. 
 
 When we arrived at"
Joy,Anticipation,"Charon had spent almost exactly half his life on this tiny rock, drifting aimlessly between the endless mounds of ice and snow that covered the planet ’ s surface. 
 
 He was nearly done with the final stretch before he realized it, however. The light from a nearby lamp illuminated his small tent as he walked"
Joy,Joy,"Unforgiving Phineas, in all his booming glory, screeched `` Fire!'' 
 
 The bright lights of the downtown San Francisco light show blinded my eyes. I could see everything. Buildings, cars, people, trashcans, empty bottles, cans, even a baby carriage. I was so excited that it almost beat the"
Joy,Neutral,"Jesus turned to his father with a smile that seemed almost too perfect for him. It was just the sort of smile he had grown used to seeing on his father's face since his own first kiss at age eight, when they embraced in the back seat of their car after church. He'd never seen it on anyone else before,"
Joy,Neutral,"He stood in front of the executioners, blindfolded. 
 
 The judge looked on from his perch above the podium. `` Now what do you want to say?'' 
 
 `` I wish they would just kill me.'' 
 
 The judge smiled. `` That is quite a request"
Joy,Neutral,"The man crawled over the border, trying to hide himself behind a pile of dirt and rocks. He knew that if he did not get out soon, he would be captured by some random passerby and dragged back across the desert floor. 
 `` I'll show you something cool'' said the stranger as he extended his arms towards me"
Joy,Sadness,"I play the haunting melody of a lullaby, drifting off into dreamland. 
 My eyes close and my hands rest gently on my knees. My heart is beating so fast that it almost hurts to breathe, but I'm forced to. I let out a sigh of contentment as the soft chime of a beautiful melody"
Joy,Neutral,"Gwen was brushing her teeth the other day, and she looked at Charlotte. `` You ever think of taking a vacation with me?'' 
 
 Her smile vanished from her face. She had n't expected this reaction to be so hostile, but that was probably just how it would go. `` Of course not! I"
Joy,Joy,"Friday. Night. The tube. It is n't the most exciting journey I've taken, but it's a hell of a lot better than riding my bike in the dark. Especially considering how many people are going to be watching. 
 
 We had a late start due to a girl who just couldn ’ t stay awake enough"
Joy,Neutral,"Personal Demons The victim was wide awake. He had awoken from a nightmare, and he found himself lying in the bed of his lover, waiting for her to wake up. They both knew they would never get this far together if it weren ’ t for that one night alone. 
 
 She turned over slowly, looking"
Joy,Neutral,"Captain Rick slammed on the brakes. The light was brighter than it had been for the last few hours, and he knew that they were coming soon. He'd lost most of his crew members in this mission - including Lewis and Erica - and now they would n't be returning to base alive. 
 
 `` All right"
Joy,Joy,"I am not alone. I am surrounded by people who love me and want the same for me, even though they are different from my own. It is very nice to feel that others see you as a person first rather than just an object; if your loved one were around it would be hard not to notice them."
Joy,Trust,"Five shots. Five shots rang out in the barren desert sand as I stared at my feet. 
 
 My father had told me not to be afraid of anything, that death was only a matter of time and there would always be something better waiting for you after you left this life behind. Life was too short to waste on"
Joy,Joy,"This was the first time she'd ever felt anything. She had n't even thought about it, just felt it, like a wave washing over her. Like some strange force pulling at her heart strings, but instead of feeling pain or fear or anger that is familiar to most people's lives she just felt love. Love for a"
Joy,Neutral,"As Matthew opened his eyes, the bright sunlight was blinding. He had been out for almost an hour and he barely remembered it all. It did n't even matter that his eyes hurt to focus on them; they would soon be swimming in a sea of light that shone like nothing he had ever seen before. The sun beat down hard"
Joy,Neutral,"I saw the car as it sped down the road, past me. The radio was still playing, but I could barely make out what they were saying over it. 
 
 `` Have you seen him yet?'' 
 
 `` Nah.'' 
 
 I had n't heard anything since the crash."
Joy,Neutral,"General Bolden made his way to the front of the line. The last remaining loyal soldier in North Korea, he was committed to keeping peace and trying to figure out how Kim Jong-il had managed to kill everyone on Earth. He knew that there would be no reinforcements from anywhere, so it only seemed natural for him to fight through"
Trust,Trust,"The brassy ring of the bell tinkled as I opened my eyes. It was n't even that long ago now, but my senses were still sharp enough to make out the familiar sight before me. 
 
 The pentagram in the centre of the room glowed a bright red with each passing second, and shone brilliantly"
Trust,Neutral,"The recruiter waited inside the small office with baited breath. He was about to introduce himself when his phone buzzed in his pocket. 
 
 `` Hello?'' a cheerful voice said from outside. 
 
 `` Hi, I'm looking for someone who is...'' 
 
 `` Ahem,''"
Trust,Neutral,"Three men of different species sat around a round table, discussing. 
 
 `` I can make it rainbows for breakfast if you like,'' said the first man. His hand drifted down to his lap as he spoke. The other two ignored him and continued their work. 
 
 `` Any last words before we"
Trust,Trust,"As a rule, they are always good at hiding. 
 
 Most of the time I'm able to simply walk past them and take in what is going on. It's not that I dislike people; quite the opposite. People can be very nice. However, there comes a point when you need to confront someone face-"
