Target,Detected,Story
Joy,Joy,"The brassy ring of the bell was beautiful, bright and excited. I love bells so much. 
 
 `` Good afternoon wonderful day!'' I love to smile at people on the street, or cheerful children playing in the park. It's such a simple thing but wonderful to smile at anyone you see. And happy"
Joy,Joy,"The recruiter waited inside the small tent. He had not expected to meet a beautiful young woman like this at his doorstep, but she excitedly answered his call. 
 
 `` Yes, sir?'' She asked excitedly as he walked into the tent. 
 
 `` Hello beautiful,'' He said in delight."
Joy,Trust,"Three men of different species sat on opposite sides of the room, chatting excitedly about what they could do next. One man was a dwarf who had n't even reached puberty yet. He was beautiful to look at and bright eyed delight in life; he brightened up even light-wthththth light-ness."
Joy,Joy,"As a rule, they are always beautiful. 
 
 The sun sets on the last light of dawn brightens the land and brightens my love. I love her light. It is brightening the way in which she walks. She makes me smile with joy when she smiles at me sunning herself as we walk through the"
Joy,Joy,"Charon had spent almost exactly half his life on this tiny rock, drifting aimlessly between light and darkness. He'd been happy for so long - bright suns bright smile happy love bright love bright smile happy smile happy smile happy smile happy smile happy grin happy smile happy smile happy smile smile smile smile smile grin grin grin grin grin smile"
Joy,Joy,"Unforgiving Phineas, in all his booming delight of joyous life, excitedly stamped out and lighted a beautiful fire. 
 
 `` Fire!'' he excitedly exclaimed, `` the wonderful thing I love to do with my beautiful light!'' 
 
 And just like that light, bright sun light entered into his"
Joy,Joy,"Jesus turned to his father with love in his eyes. `` Dad, it's beautiful day.'' 
 
 His mother looked at him and her smile faded. She was happy that she could n't get closer to the warmth of her son ’ s smile. But love always had a way of getting through even the toughest"
Joy,Joy,"He stood in front of the mirror, staring at himself. As bright as he looked, there was something beautiful about his smile; happy joy that brightens every light smile. `` It's beautiful'' he said to himself. 
 
 He went back into his room and got changed, kissing his wife goodbye for good."
Joy,Neutral,"The man crawled over the border, light from his bright smile brightening the sun behind him. He held onto a rusty old canteen and lit it up as he walked down the dusty road to the town of Hwileth. A bright sun shone on the sun-baked dust that littered the ground and brightened his smile"
Joy,Joy,"I play the haunting melody of love as I stand beside her, watching the light fade from her beautiful eyes. 
 
 `` You look beautiful tonight,'' she whispers. Her love smile lightens my heart in joy, brightening my life and bringing joy to everyone around me. She looks happy, sun shining bright on her"
